"sic","sicDescription","count"
"3241","Cement, Hydraulic","13"
"3713","Truck & Bus Bodies","13"
"3452","Bolts, Nuts, Screws, Rivets & Washers","13"
"2891","Adhesives & Sealants","13"
"4932","Gas & Other Services Combined","13"
"3612","Power, Distribution & Specialty Transformers","13"
"0900","Fishing, Hunting and Trapping","13"
"2250","Knitting Mills","11"
"3011","Tires & Inner Tubes","11"
"3444","Sheet Metal Work","11"
"2611","Pulp Mills","11"
"2070","Fats & Oils","11"
"3950","Pens, Pencils & Other Artists' Materials","10"
"3448","Prefabricated Metal Buildings & Components","10"
"2950","Asphalt Paving & Roofing Materials","10"
"3442","Metal Doors, Sash, Frames, Moldings & Trim","10"
"3715","Truck Trailers","10"
"3390","Miscellaneous Primary Metal Products","10"
"2092","Prepared Fresh or  Frozen Fish & Seafoods","10"
"2732","Book Printing","9"
"3532","Mining Machinery & Equip (No Oil & Gas Field Mach & Equip)","9"
"3221","Glass Containers","9"
"3910","Jewelry, Silverware & Plated Ware","9"
"3873","Watches, Clocks, Clockwork Operated Devices/Parts","9"
"3281","Cut Stone & Stone Products","9"
"3530","Construction, Mining & Materials Handling Machinery & Equip","9"
"3942","Dolls & Stuffed Toys","9"
"2990","Miscellaneous Products of  Petroleum & Coal","9"
"3931","Musical Instruments","8"
"3567","Industrial Process Furnaces & Ovens","8"
"2531","Public Bldg & Related Furniture","8"
"2790","Service Industries For The Printing Trade","8"
"2600","Papers & Allied Products","8"
"3541","Machine Tools, Metal Cutting Types","8"
"2780","Blankbooks, Looseleaf Binders & Bookbindg & Relatd Work","8"
"5031","Wholesale-Lumber, Plywood, Millwork & Wood Panels","8"
"3613","Switchgear & Switchboard Apparatus","8"
"3695","Magnetic & Optical Recording Media","8"
"5000","Wholesale-Durable Goods","8"
"3524","Lawn & Garden Tractors & Home Lawn & Gardens Equip","7"
"7384","Services-Photofinishing Laboratories","7"
"3562","Ball & Roller Bearings","7"
"3430","Heating Equip, Except Elec & Warm Air; & Plumbing Fixtures","7"
"2273","Carpets & Rugs","7"
"3824","Totalizing Fluid Meters & Counting Devices","7"
"8111","Services-Legal Services","7"
"3341","Secondary Smelting & Refining of  Nonferrous Metals","7"
"3260","Pottery & Related Products","7"
"8600","Services-Membership or ganizations","7"
"2771","Greeting Cards","6"
"2540","Partitions, Shelvg, Lockers, & of fice & Store Fixtures","6"
"3716","Motor Homes","6"
"5050","Wholesale-Metals & Minerals (No Petroleum)","6"
"3050","Gaskets, Packg & Sealg Devices & Rubber & Plastics Hose","5"
"5082","Wholesale-Construction & Mining (No Petro) Machinery & Equip","5"
"7829","Services-Allied To Motion Picture Distribution","5"
"3960","Costume Jewelry & Novelties","4"
"3677","Electronic Coils, Transformers & Other Inductors","4"
"3451","Screw Machine Products","4"
"9721","International Affairs","3"
"5271","Retail-Mobile Home Dealers","3"
"4231","Terminal Maintenance Facilities For Motor Freight Transport","2"
"0888","unknown","2"
"6120","unknown","2"
"3211","Flat Glass","2"
"3412","Metal Shipping Barrels, Drums, Kegs & Pails","2"
"1044","Silver Ores","1"
"6025","unknown","1"
